SITECODE,LOCATION,LAT (EPSG7844),LON (EPSG7844)
GI24,garden is,-32.156767,115.627503
GI3,garden is,-32.133435,115.595
GI23,garden is,-32.182602,115.631666
GI4,garden is,-32.133433,115.585841
GI5,garden is,-32.133429,115.576671
GI22,garden is,-32.207597,115.636671
GI6,garden is,-32.133433,115.537501
GI21,garden is,-32.231763,115.640003
GI7,garden is,-32.133435,115.498341
GI19,garden is,-32.250097,115.66667
GI8,garden is,-32.133434,115.459998
GI18,garden is,-32.2501,115.653338
GI17,garden is,-32.250101,115.63334
GI9,garden is,-32.133428,115.420002
GI16,garden is,-32.250096,115.625337
GI15,garden is,-32.2501,115.615837
GI14,garden is,-32.228434,115.583342
GI10,garden is,-32.150094,115.453335
GI13,garden is,-32.208429,115.551675
GI12,garden is,-32.188433,115.518335
GI11,garden is,-32.169268,115.485833
GI20,garden is,-32.250094,115.674175
MN34,mandurah,-32.333434,115.737505
MN33,mandurah,-32.333431,115.71667
MN36,mandurah,-32.350096,115.710006
MN35,mandurah,-32.320935,115.70667
MN32,mandurah,-32.333433,115.696675
MN31,mandurah,-32.333433,115.675001
MN45,mandurah,-32.33343,115.650002
MN25,mandurah,-32.333431,115.637507
MN95,mandurah,-32.33344,115.629996
MN26,mandurah,-32.333429,115.616673
MN90,mandurah,-32.333432,115.591674
MN88,mandurah,-32.291768,115.591671
MN100,mandurah,-32.313432,115.650001
MN85,mandurah,-32.291762,115.558337
MN105,mandurah,-32.291765,115.650004
MN110,mandurah,-32.266761,115.650003
MN60,mandurah,-32.3001,115.650008
MN55,mandurah,-32.266761,115.650003
GI55,mandurah,-32.250098,115.45834
MN49W,mandurah,-32.250428,115.675008
GI19,mandurah,-32.250097,115.66667
MN50,mandurah,-32.253434,115.666674
GI50,mandurah,-32.250094,115.483336
GI18,mandurah,-32.2501,115.653338
GI45,mandurah,-32.250094,115.508333
GI40,mandurah,-32.250098,115.533341
GI17,mandurah,-32.250101,115.63334
GI16,mandurah,-32.250096,115.625337
GI35,mandurah,-32.250097,115.558338
GI15,mandurah,-32.2501,115.615837
GI30,mandurah,-32.250097,115.6
MN65,mandurah,-32.356764,115.658337
MN70,mandurah,-32.400097,115.658335
MN72,mandurah,-32.433437,115.650002
MN20,mandurah,-32.433433,115.668339
MN49,mandurah,-32.253432,115.675007
MN75,mandurah,-32.416763,115.694999
MN80,mandurah,-32.416767,115.72
MN15N,mandurah,-32.416769,115.741662
MN13,mandurah,-32.450097,115.705838
MN9,mandurah,-32.483429,115.700008
MN2,mandurah,-32.500101,115.695
MN3,mandurah,-32.5126,115.700834
MN4,mandurah,-32.512596,115.708339
MC5,mandurah,-32.526766,115.709169
MN20N,mandurah,-32.416762,115.674997
CS135,epa cockburn,-32.248098,115.700835
CS55,epa cockburn,-32.187597,115.714
CS10,epa cockburn,-32.147929,115.667332
CS52,epa cockburn,-32.188768,115.705837
CS25,epa cockburn,-32.15126,115.72451
CS27,epa cockburn,-32.151262,115.732759
CS105,epa cockburn,-32.234601,115.724503
CS108,epa cockburn,-32.244935,115.70467
CS28,epa cockburn,-32.151266,115.739503
CS50,epa cockburn,-32.189927,115.694004
CS30,epa cockburn,-32.151265,115.751166
CS155,epa cockburn,-32.246434,115.720676
CS28N,epa cockburn,-32.143267,115.745169
CS165,epa cockburn,-32.190761,115.685675
CS27N,epa cockburn,-32.143267,115.733336
CS23S,epa cockburn,-32.143264,115.725003
CS22,epa cockburn,-32.144264,115.71867
CS161,epa cockburn,-32.191268,115.681499
CS160,epa cockburn,-32.190935,115.678173
CS22NW,epa cockburn,-32.141767,115.710838
CS161TES,epa cockburn,-32.191268,115.681499
CS226,epa cockburn,-32.234599,115.698672
CS22A,epa cockburn,-32.150267,115.7155
CS20,epa cockburn,-32.150102,115.705504
CS45,epa cockburn,-32.167932,115.709504
CS100,epa cockburn,-32.234594,115.708669
CS45NE,epa cockburn,-32.159267,115.711673
CS18,epa cockburn,-32.150761,115.69417
CS15,epa cockburn,-32.150435,115.685343
CS100W,epa cockburn,-32.235097,115.736171
CS12,epa cockburn,-32.148427,115.677006
CS175,epa cockburn,-32.187761,115.73201
CS60,epa cockburn,-32.187099,115.747007
CS22N,epa cockburn,-32.140934,115.71667
CS110,epa cockburn,-32.234601,115.747003
WP25,epa cockburn,-32.1371,115.716671
CS5,epa cockburn,-32.144599,115.658666
CS65,epa cockburn,-32.186264,115.761169
WP20,epa cockburn,-32.134267,115.716668
WP15,epa cockburn,-32.128927,115.716669
CS180,epa cockburn,-32.185602,115.768168
OA10,epa cockburn,-32.055768,115.730836
CS185,epa cockburn,-32.186266,115.772508
WP10,epa cockburn,-32.125093,115.716669
OA15,epa cockburn,-32.059267,115.715503
CS125,epa cockburn,-32.267101,115.726172
WP5,epa cockburn,-32.120096,115.716676
OA20,epa cockburn,-32.066265,115.715341
OA100,epa cockburn,-32.114932,115.717172
OA33,epa cockburn,-32.06326,115.686167
CS85,epa cockburn,-32.211265,115.719174
OA30,epa cockburn,-32.084768,115.69084
CS209,epa cockburn,-32.242933,115.716172
CS112A,epa cockburn,-32.238931,115.717343
OA60,epa cockburn,-32.1046,115.665334
CS88,epa cockburn,-32.223181,115.722721
OA65,epa cockburn,-32.111267,115.705342
OA70,epa cockburn,-32.111265,115.743667
OA75,epa cockburn,-32.129596,115.720338
OA80,epa cockburn,-32.131261,115.701339
OA85,epa cockburn,-32.135429,115.677003
OA90,epa cockburn,-32.137932,115.660332
CS20A,epa cockburn,-32.137098,115.703175
OA72A,epa cockburn,-32.125519,115.7
CS26,epa cockburn,-32.150061,115.733507
OA72N,epa cockburn,-32.112933,115.697168
CS35,epa cockburn,-32.167928,115.738669
CS40,epa cockburn,-32.167927,115.728668
CS47A,epa cockburn,-32.167569,115.693506
CS17,epa cockburn,-32.163432,115.682505
DEVO5,epa cockburn,-32.158928,115.688338
DEVO4,epa cockburn,-32.151766,115.68667
CS95,epa cockburn,-32.233765,115.690342
DEVO3,epa cockburn,-32.143429,115.69084
DEVO2,epa cockburn,-32.138927,115.692505
OA81A,epa cockburn,-32.138766,115.69784
CS110W,epa cockburn,-32.234267,115.737
OA32,epa cockburn,-32.072435,115.688007
OA5,epa cockburn,-32.070935,115.731167
OA31,epa cockburn,-32.078933,115.689175
OA30A,epa cockburn,-32.095598,115.695676
OA30S,epa cockburn,-32.103268,115.695006
OA64,epa cockburn,-32.111012,115.694609
OA72W,epa cockburn,-32.119232,115.69922
OA25,epa cockburn,-32.09293,115.715339
DEV02,epa cockburn,-32.138927,115.692505
DEV03,epa cockburn,-32.143429,115.69084
OA25E,epa cockburn,-32.090263,115.732669
DEV04,epa cockburn,-32.151766,115.68667
OA33W,epa cockburn,-32.061931,115.683337
DEV05,epa cockburn,-32.158928,115.688338
OA30W,epa cockburn,-32.079435,115.674176
OA35,epa cockburn,-32.077928,115.657002
OA802,epa cockburn,-32.146768,115.699666
0A70,epa cockburn,-32.11127825,115.7436562
OA804,epa cockburn,-32.138927,115.696873
OA40,epa cockburn,-32.079595,115.634835
OA64CM,epa cockburn,-32.110598,115.695601
OA45,epa cockburn,-32.077931,115.617007
OA95W,epa cockburn,-32.137269,115.628675
OA807,epa cockburn,-32.147918,115.691369
OA95,epa cockburn,-32.137927,115.635334
CS20B,epa cockburn,-32.146267,115.704508
OA98,epa cockburn,-32.139763,115.645834
OA809,epa cockburn,-32.154952,115.687642
CS70,epa cockburn,-32.198767,115.769508
OA50,epa cockburn,-32.099102,115.617006
OA810,epa cockburn,-32.158597,115.685109
CS75,epa cockburn,-32.209597,115.755335
OA55,epa cockburn,-32.099102,115.642005
OA812,epa cockburn,-32.164877,115.681816
CS80,epa cockburn,-32.205434,115.743
OA814,epa cockburn,-32.17343,115.676772
Y3,epa cockburn,-32.009763,115.740004
OA62,epa cockburn,-32.108868,115.683533
OA85N,epa cockburn,-32.120767,115.679334
CS90,epa cockburn,-32.222935,115.698583
Y26,epa cockburn,-32.013097,115.70917
OA95W2,epa cockburn,-32.139899,115.637499
OA68,epa cockburn,-32.11126,115.720668
OA68E,epa cockburn,-32.111767,115.7325
OA95W4,epa cockburn,-32.139894,115.647126
Y27,epa cockburn,-32.016433,115.677508
OA95W6,epa cockburn,-32.14408,115.657401
OA71,epa cockburn,-32.111529,115.758523
CS145,epa cockburn,-32.255434,115.6845
OA95W8,epa cockburn,-32.147012,115.665957
Y28,epa cockburn,-32.020934,115.645838
CS150,epa cockburn,-32.255428,115.666666
CS115,epa cockburn,-32.239601,115.753674
OA95WA,epa cockburn,-32.149533,115.67664
CS120,epa cockburn,-32.254595,115.730338
CS219,epa cockburn,-32.252261,115.704767
Y29,epa cockburn,-32.026762,115.615839
OA95WC,epa cockburn,-32.149682,115.67967
CS221,epa cockburn,-32.258345,115.702568
Y30,epa cockburn,-32.035099,115.583341
CS223,epa cockburn,-32.26843,115.699006
OA95WE,epa cockburn,-32.151447,115.693302
ML01,epa cockburn,-32.134593,115.689503
CS130,epa cockburn,-32.265435,115.708668
Y31,epa cockburn,-32.048427,115.554169
OA95WG,epa cockburn,-32.150716,115.702876
SG,epa cockburn,-32.079095,115.702342
CS203,epa cockburn,-32.261769,115.711841
OA95WI,epa cockburn,-32.151664,115.710041
CS170,epa cockburn,-32.190632,115.686271
CS205,epa cockburn,-32.2606,115.717505
Y32,epa cockburn,-32.059266,115.528005
OA95WK,epa cockburn,-32.151165,115.724903
OA95WM,epa cockburn,-32.151161,115.739791
CS118,epa cockburn,-32.261268,115.740002
OA95W0,epa cockburn,-32.151366,115.751335
CS207,epa cockburn,-32.255936,115.722836
OA85NN,epa cockburn,-32.119933,115.773005
CS211,epa cockburn,-32.240763,115.710333
CS25A,epa cockburn,-32.150582,115.719907
CS213,epa cockburn,-32.239096,115.702587
CS215,epa cockburn,-32.240095,115.694507
CS20C,epa cockburn,-32.159265,115.708884
CS227,epa cockburn,-32.234597,115.702842
CS46,epa cockburn,-32.173764,115.710918
CS175E,epa cockburn,-32.1876,115.741166
CS233,epa cockburn,-32.270429,115.71984
CS16,epa cockburn,-32.159933,115.682672
CS233A,epa cockburn,-32.27593,115.719753
MF5,epa cockburn,-32.157927,115.683167
SDC1,epa cockburn,-32.291765,115.650004
CS151,epa cockburn,-32.265431,115.666669
OA70SW,epa cockburn,-32.121101,115.733176
OA72,epa cockburn,-32.119382,115.700617
OA62S,epa cockburn,-32.121266,115.681341
OA88,epa cockburn,-32.135428,115.669168
CS4,epa cockburn,-32.156762,115.706672
CS10S,epa cockburn,-32.152595,115.665833
CS7N,epa cockburn,-32.139933,115.681666
CS20BN,epa cockburn,-32.13893,115.704167
ML01W,epa cockburn,-32.132934,115.68517
ML01NW,epa cockburn,-32.130601,115.693334
CS27A,epa cockburn,-32.149928,115.740041
MF10,epa cockburn,-32.146599,115.695502
MF15,epa cockburn,-32.155597,115.689839
MF20,epa cockburn,-32.091927,115.687008
MF25,epa cockburn,-32.163766,115.675671
CS112,epa cockburn,-32.240928,115.711509
